gene_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
118738,ZNF488,621.159360444083,-1.4095022430276793,0.3070720711180876,-4.590134940945643,4.429595459658174e-06,0.0191078383676157
338328,GPIHBP1,671.4075632048248,-2.9825638004573563,0.6578538151495394,-4.533778982157879,5.7937654237767436e-06,0.0191078383676157
124602,KIF19,927.1965708551948,-2.56957732920668,0.5945648778992357,-4.3217778660012955,1.5477697255478548e-05,0.02116447969651361
60484,HAPLN2,2158.473237931804,-2.288425832543375,0.5212475186542456,-4.390286285585823,1.1320152455351315e-05,0.02116447969651361
84735,CNDP1,1920.423221579476,-2.454864968150348,0.569065613623287,-4.31385223317224,1.604342002464646e-05,0.02116447969651361
3008,H1-4,1286.3375214776893,-0.4787033461220091,0.11241845870844798,-4.258227266426983,2.0605441091397833e-05,0.022652248239810015
27333,GOLIM4,1260.8129637216155,0.7305342189648734,0.17685998780021617,4.130579381188787,3.618501179318674e-05,0.034096619683979965
166647,ADGRA3,616.7376460773546,0.8494747357425394,0.21013713662557582,4.042477923624423,5.288929356241725e-05,0.04360722254221302
2861,GPR37,3223.8172498408594,-2.3550230128284046,0.5901956710999819,-3.990241081299718,6.600616954291171e-05,0.04837518825611618
56896,DPYSL5,1508.7950510788335,-1.0189567733166678,0.2717949041472827,-3.7489914555738184,0.0001775471337239154,0.048506346137814904
4355,MPP2,1497.9483497004958,-0.6077318656188683,0.1715221504697324,-3.543168412677472,0.000395350139951466,0.048506346137814904
57165,GJC2,514.8674481388563,-1.7834830443173777,0.48720007203226634,-3.6606789421805774,0.00025154780286120685,0.048506346137814904
51104,ABHD17B,746.5667573848884,-1.2162390824423157,0.3512480782703551,-3.462621314346888,0.0005349407002158038,0.048506346137814904
51097,SCCPDH,676.3665960340891,-0.7615752913100826,0.20470138909696337,-3.720420729286493,0.00019889116414999772,0.048506346137814904
85445,CNTNAP4,1718.6654406563073,-1.310196636627354,0.37578088560621437,-3.486597341197194,0.000489207313993816,0.048506346137814904
5360,PLTP,774.7784149361947,0.621572378674886,0.16213193018307065,3.833744395524311,0.0001262072863598264,0.048506346137814904
117584,RFFL,759.7163012942746,-1.2428806038546296,0.35839360314202273,-3.4679207244726014,0.0005245019934076277,0.048506346137814904
29970,SCHIP1,818.5778563178658,-0.756844570448896,0.21727687394554204,-3.4833185727745257,0.0004952386636452875,0.048506346137814904
3709,ITPR2,1820.47438244604,0.5533691281217313,0.15728443736360073,3.518270067892895,0.0004343700573753791,0.048506346137814904
5137,PDE1C,2145.586738453536,-1.5031526108585804,0.4301124336173265,-3.4947899511222777,0.0004744349718309628,0.048506346137814904
9771,RAPGEF5,5484.665771907134,-1.1059613934113706,0.3069395801794748,-3.603189242536557,0.00031433649979063723,0.048506346137814904
2913,GRM3,1641.0971459153118,-0.9329544599497679,0.26979548437697903,-3.4580062083106333,0.0005441888438748186,0.048506346137814904
51573,GDE1,913.5708122784818,-0.6627495558493209,0.18990801116766418,-3.489845171745803,0.00048330046621946894,0.048506346137814904
285800,PRR18,1717.013323423572,-2.0676370735824596,0.5657552295355098,-3.6546495120867166,0.00025753355122946995,0.048506346137814904
94015,TTYH2,2990.3580120996867,-1.8715803341958037,0.518473043171291,-3.60979294651097,0.0003064415172569414,0.048506346137814904
53834,FGFRL1,748.6270200117677,0.9263307570751322,0.24637858013454786,3.759786084363588,0.00017005870746038612,0.048506346137814904
100505385,IQCJ-SCHIP1,717.3696709190125,-0.7985643495803884,0.22100565176337647,-3.613320940929534,0.0003023001418796062,0.048506346137814904
1155,TBCB,1269.2933849664864,-0.6528703136246384,0.18697870575609807,-3.491682707849452,0.0004799880607331744,0.048506346137814904
6196,RPS6KA2,3261.413586005515,-0.5812338587343946,0.16406344942843556,-3.542738256200865,0.0003959955293749682,0.048506346137814904
267,AMFR,2261.4581425914125,-0.43461327440012587,0.12353146977334493,-3.5182393215069214,0.00043442039125172506,0.048506346137814904
25777,SUN2,5882.729346080445,-1.4202816785111614,0.3817653305977749,-3.720300311941001,0.0001989860226512234,0.048506346137814904
57185,NIPAL3,3024.8409346642015,-1.2066664580940314,0.3390031989334428,-3.5594544886018578,0.00037162592523339553,0.048506346137814904
81551,STMN4,3129.4769937237143,-1.0550553938248979,0.3020685655077871,-3.4927679152953752,0.00047804178663599415,0.048506346137814904
79171,RBM42,556.7353178936729,-0.626233425615182,0.1751439074126746,-3.575536453801096,0.00034951046778181814,0.048506346137814904
149345,SHISA4,1058.3093240412636,-0.540544711861966,0.15583329182126043,-3.468737042928969,0.0005229109963900094,0.048506346137814904
10215,OLIG2,1238.0313311702441,-1.606262199326455,0.43884573397602133,-3.6601978211646955,0.0002520206056212089,0.048506346137814904
9619,ABCG1,1496.0415797705732,-0.6153234812420307,0.15890279736492197,-3.87232629913326,0.00010780149916631811,0.048506346137814904
6536,SLC6A9,503.98488254267744,-1.4010056708626781,0.40271909253180416,-3.478865782237617,0.0005035407157333561,0.048506346137814904
64834,ELOVL1,844.6944635193196,-2.0152089517435785,0.5192339247594282,-3.8811195795368465,0.00010397669759710197,0.048506346137814904
7018,TF,10839.099807825462,-2.3143435000394277,0.6589910787561066,-3.5119496676767135,0.000444832235474447,0.048506346137814904
6888,TALDO1,927.5673962420598,-0.93545380056976,0.2548962353365414,-3.6699396494996224,0.00024260773954335761,0.048506346137814904
203190,LGI3,3029.937816395243,-1.0584975091430768,0.3059452902770928,-3.4597607571745987,0.0005406555179158474,0.048506346137814904
27345,KCNMB4,1941.697059974582,-1.2267167272422053,0.34592285825906627,-3.54621470641151,0.000390807651611518,0.048506346137814904
150209,AIFM3,793.4929759443144,1.141522111285057,0.3119323317297652,3.6595184120701734,0.0002526896877991621,0.048506346137814904
1267,CNP,24178.777439982692,-1.9184271267511388,0.5444496733705829,-3.52360782012142,0.00042571385098105053,0.048506346137814904
4637,MYL6,1991.6929198612593,-0.4839109845151251,0.1307491682547551,-3.701063578257418,0.00021469766856521124,0.048506346137814904
873,CBR1,1277.2664573370882,-1.2734891267873787,0.36692286985458533,-3.4707270421494125,0.0005190513337862247,0.048506346137814904
