Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,axonogenesis (GO:0007409),1/240,0.7632885872259711,0.7852763243065547,0,0,0.6964754272746614,0.1881313101374637,CNTN2
GO_Biological_Process_2021,positive regulation of DNA-binding transcription factor activity (GO:0051091),1/246,0.7717150742479533,0.7931295727111545,0,0,0.6792113455551713,0.1760107410737964,JUP
GO_Biological_Process_2021,positive regulation of cell population proliferation (GO:0008284),2/474,0.7769167461424272,0.7976557968608081,0,0,0.7029190207156308,0.1774322828109076,ERBB3;SOX8
GO_Biological_Process_2021,negative regulation of transcription by RNA polymerase II (GO:0000122),3/684,0.7778876648065917,0.7978335023657349,0,0,0.7291508430806624,0.1831431176820494,SOX8;SOX10;SIRT2
GO_Biological_Process_2021,positive regulation of signal transduction (GO:0009967),1/252,0.7798440230474689,0.7990205154174885,0,0,0.6627726382605172,0.1648059388053857,KLK6
GO_Biological_Process_2021,positive regulation of phosphorylation (GO:0042327),1/253,0.7811706575740855,0.7995605502293608,0,0,0.6601089588377724,0.1630215919735201,ERBB3
GO_Biological_Process_2021,positive regulation of gene expression (GO:0010628),2/482,0.7848320651714324,0.8024867742039187,0,0,0.6909188034188034,0.1673996172830834,GSN;LARP6
GO_Biological_Process_2021,positive regulation of cell differentiation (GO:0045597),1/258,0.7876858535860868,0.804582077207443,0,0,0.6471014970652246,0.1544346106045664,CTNNA1
GO_Biological_Process_2021,cellular component assembly (GO:0022607),1/261,0.7915022565215605,0.8076553637975107,0,0,0.6395371577574968,0.1495382082292252,GSN
GO_Biological_Process_2021,inorganic cation transmembrane transport (GO:0098662),1/274,0.8072691024614181,0.8229042838546565,0,0,0.6086794561370833,0.1303171795871299,SLC6A9
GO_Biological_Process_2021,plasma membrane bounded cell projection assembly (GO:0120031),1/278,0.811878206374041,0.826759884291284,0,0,0.5997674845499602,0.1249945079634305,GSN
GO_Biological_Process_2021,"negative regulation of transcription, DNA-templated (GO:0045892)",4/948,0.8213189339750945,0.8355228219482141,0,0,0.6977523949889463,0.1373482153309622,CDKN1C;SOX8;SOX10;SIRT2
GO_Biological_Process_2021,protein ubiquitination (GO:0016567),2/525,0.8233102064083709,0.8366973642361494,0,0,0.6327074242944224,0.1230123869802642,RNF167;AMFR
GO_Biological_Process_2021,cilium assembly (GO:0060271),1/314,0.8487369667897586,0.861661895218029,0,0,0.5298099312286781,0.0868919842682175,GSN
GO_Biological_Process_2021,cellular response to oxygen-containing compound (GO:1901701),1/323,0.8567716038025501,0.8689367178524849,0,0,0.5147647120749552,0.0795743380884476,LAMTOR1
GO_Biological_Process_2021,gene expression (GO:0010467),1/356,0.8827743380778745,0.8944015583362458,0,0,0.4661255669610886,0.0581191803945697,TSPAN15
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),2/621,0.8879233986162884,0.8987078933363243,0,0,0.531930464079091,0.0632304692249392,TALDO1;ADIPOR2
GO_Biological_Process_2021,positive regulation of cellular process (GO:0048522),2/625,0.8900743621613475,0.8999740770084403,0,0,0.5284054272818318,0.0615329529623033,ERBB3;SIRT2
GO_Biological_Process_2021,positive regulation of protein phosphorylation (GO:0001934),1/371,0.8929896104762624,0.9020097075517802,0,0,0.4468850206138341,0.0505785952573787,ENPP2
GO_Biological_Process_2021,negative regulation of programmed cell death (GO:0043069),1/381,0.8993042156755034,0.907471458804746,0,0,0.4349018733273863,0.0461578355618189,SOX8
GO_Biological_Process_2021,positive regulation of macromolecule metabolic process (GO:0010604),1/384,0.901125507856567,0.9083926490489588,0,0,0.4314289507456742,0.0449163841601818,GSN
GO_Biological_Process_2021,positive regulation of transcription by RNA polymerase II (GO:0045944),3/908,0.911170671651998,0.917593828451156,0,0,0.5422747189940941,0.0504451349507018,JUP;SOX8;SIRT2
GO_Biological_Process_2021,protein modification by small protein conjugation (GO:0032446),1/409,0.9150861465152584,0.9206098053473424,0,0,0.4044740777666999,0.0358918441237804,AMFR
GO_Biological_Process_2021,organelle organization (GO:0006996),1/420,0.9205918074658316,0.9252178969505844,0,0,0.3936329436511468,0.0325686177158402,SORT1
GO_Biological_Process_2021,regulation of nucleic acid-templated transcription (GO:1903506),1/430,0.9252890016871382,0.9290050217742352,0,0,0.3842598079886215,0.0298374497791749,ZNF488
GO_Biological_Process_2021,regulation of cellular macromolecule biosynthetic process (GO:2000112),1/468,0.9407573904625935,0.9435881549273756,0,0,0.352302834537074,0.0215151318551004,ZNF488
GO_Biological_Process_2021,regulation of gene expression (GO:0010468),3/1079,0.9587524804701796,0.9606738281264322,0,0,0.4519853223945648,0.0190386790236295,GSN;SORT1;ZNF488
GO_Biological_Process_2021,"regulation of transcription, DNA-templated (GO:0006355)",6/2244,0.9940285613941569,0.995023584979136,0,0,0.4185864433319889,0.0025070560854038,CDKN1C;SOX8;OLIG2;SOX10;ZNF488;SIRT2
GO_Biological_Process_2021,regulation of transcription by RNA polymerase II (GO:0006357),5/2206,0.9977467050734836,0.9977467050734836,0,0,0.3523119475198674,0.0007947584731662097,JUP;SOX8;OLIG2;SOX10;SIRT2
